"date","value"
"2016-05-02",1904.3162
"2016-05-02",1869.7434
"2016-05-02",1866.1062
"2016-05-02",1845.9948
"2016-05-02",1853.3689
"2016-05-02",1835.9171
"2016-05-02",1856.5096
"2016-05-02",1884.2146
"2016-05-02",1931.0924
"2016-05-02",1932.1621
"2016-05-02",1581.0545
"2016-05-02",1245.5325
"2016-05-02",1452.0909
"2016-05-02",1626.4881
"2016-05-02",1862.3203
"2016-05-02",2047.3274
"2016-05-02",2214.8945
"2016-05-02",2378.8263
"2016-05-02",2409.3698
"2016-05-02",2427.9501
"2016-05-02",2427.2747
"2016-05-02",2330.8609
"2016-05-02",2253.6721
"2016-05-02",2231.9123
"2016-05-02",2183.3284
"2016-05-02",2144.2848
"2016-05-02",2123.5168
"2016-05-02",2109.8481
"2016-05-02",2098.8385
"2016-05-02",2064.1273
"2016-05-02",2002.4106
"2016-05-02",1855.2002
"2016-05-02",1769.2082
"2016-05-02",1678.5539
"2016-05-02",1608.4564
"2016-05-02",1555.4083
"2016-05-02",1466.5521
"2016-05-02",1426.8118
"2016-05-02",1425.073
"2016-05-02",1372.2449
"2016-05-02",1593.7596
"2016-05-02",2347.2562
"2016-05-02",2278.9427
"2016-05-02",2164.8669
"2016-05-02",2122.8006
"2016-05-02",2079.839
"2016-05-02",2030.0393
"2016-05-02",1987.6759
"2016-05-03",1952.24
"2016-05-03",1941.9226
"2016-05-03",1901.3438
"2016-05-03",1890.9012
"2016-05-03",1885.0262
"2016-05-03",1874.6862
"2016-05-03",1883.2093
"2016-05-03",1905.3935
"2016-05-03",1968.1346
"2016-05-03",1983.774
"2016-05-03",1498.0817
"2016-05-03",1278.291
"2016-05-03",1468.251
"2016-05-03",1657.8714
"2016-05-03",1877.9365
"2016-05-03",2077.0197
"2016-05-03",2259.4575
"2016-05-03",2351.7465
"2016-05-03",2376.6505
"2016-05-03",2405.4204
"2016-05-03",2354.3276
"2016-05-03",2252.055
"2016-05-03",2197.0387
"2016-05-03",2207.5974
"2016-05-03",2195.481
"2016-05-03",2199.8919
"2016-05-03",2164.522
"2016-05-03",2112.6651
"2016-05-03",2017.4168
"2016-05-03",1988.4883
"2016-05-03",1970.9054
"2016-05-03",1874.547
"2016-05-03",1781.9227
"2016-05-03",1722.1786
"2016-05-03",1700.1766
"2016-05-03",1633.7356
"2016-05-03",1534.5349
"2016-05-03",1488.4784
"2016-05-03",1446.0122
"2016-05-03",1448.1745
"2016-05-03",1704.8417
"2016-05-03",2372.8161
"2016-05-03",2261.2103
"2016-05-03",2191.7119
"2016-05-03",2149.5133
"2016-05-03",2107.0189
"2016-05-03",2030.9153
"2016-05-03",1999.7342
"2016-05-04",1961.8032
"2016-05-04",1936.1902
"2016-05-04",1921.2141
"2016-05-04",1895.2135
"2016-05-04",1887.9133
"2016-05-04",1888.9591
"2016-05-04",1880.7468
"2016-05-04",1890.087
"2016-05-04",1925.9921
"2016-05-04",1929.9627
"2016-05-04",1466.386
"2016-05-04",1251.6673
"2016-05-04",1422.8199
"2016-05-04",1619.2514
"2016-05-04",1902.1646
"2016-05-04",2105.1686
"2016-05-04",2257.4032
"2016-05-04",2419.7386
"2016-05-04",2445.195
"2016-05-04",2493.2654
"2016-05-04",2415.0144
"2016-05-04",2337.4841
"2016-05-04",2279.0149
"2016-05-04",2234.6553
"2016-05-04",2230.7858
"2016-05-04",2234.9055
"2016-05-04",2196.9932
"2016-05-04",2161.6411
"2016-05-04",2080.1281
"2016-05-04",2091.5392
"2016-05-04",2006.4445
"2016-05-04",1906.2329
"2016-05-04",1817.4976
"2016-05-04",1767.6073
"2016-05-04",1725.3717
"2016-05-04",1657.4933
"2016-05-04",1544.402
"2016-05-04",1549.3599
"2016-05-04",1472.7567
"2016-05-04",1469.4504
"2016-05-04",1637.0169
"2016-05-04",2401.7045
"2016-05-04",2346.7239
"2016-05-04",2202.2065
"2016-05-04",2177.5994
"2016-05-04",2122.0769
"2016-05-04",2062.4828
"2016-05-04",2003.7477
"2016-05-05",1997.7354
"2016-05-05",1967.3273
"2016-05-05",1950.8475
"2016-05-05",1937.0612
"2016-05-05",1937.0711
"2016-05-05",1911.564
"2016-05-05",1903.425
"2016-05-05",1921.9733
"2016-05-05",1943.8719
"2016-05-05",1967.8697
"2016-05-05",1425.1146
"2016-05-05",1250.1812
"2016-05-05",1464.7582
"2016-05-05",1619.4765
"2016-05-05",1908.9572
"2016-05-05",2100.4406
"2016-05-05",2257.3153
"2016-05-05",2336.4669
"2016-05-05",2375.7504
"2016-05-05",2376.8088
"2016-05-05",2369.9842
"2016-05-05",2249.4068
"2016-05-05",2256.9247
"2016-05-05",2213.383
"2016-05-05",2176.0978
"2016-05-05",2157.4571
"2016-05-05",2129.4559
"2016-05-05",2095.9974
"2016-05-05",2047.5444
"2016-05-05",1993.7455
"2016-05-05",1921.9168
"2016-05-05",1830.6041
"2016-05-05",1768.676
"2016-05-05",1688.7502
"2016-05-05",1619.7637
"2016-05-05",1557.6889
"2016-05-05",1470.582
"2016-05-05",1413.5096
"2016-05-05",1362.6023
"2016-05-05",1356.4323
"2016-05-05",1448.9963
"2016-05-05",2276.3427
"2016-05-05",2238.2525
"2016-05-05",2174.2338
"2016-05-05",2136.4199
"2016-05-05",2070.0624
"2016-05-05",2015.6021
"2016-05-05",1982.631
"2016-05-06",1960.5737
"2016-05-06",1926.3958
"2016-05-06",1923.1878
"2016-05-06",1912.9757
"2016-05-06",1897.2823
"2016-05-06",1893.9593
"2016-05-06",1889.2328
"2016-05-06",1920.811
"2016-05-06",1927.8281
"2016-05-06",1899.7404
"2016-05-06",1271.4564
"2016-05-06",1227.3846
"2016-05-06",1404.8803
"2016-05-06",1569.3342
"2016-05-06",1829.0479
"2016-05-06",1987.6968
"2016-05-06",2144.062
"2016-05-06",2264.3881
"2016-05-06",2269.6188
"2016-05-06",2309.398
"2016-05-06",2269.9463
"2016-05-06",2232.1911
"2016-05-06",2188.3494
"2016-05-06",2184.0059
"2016-05-06",2133.3761
"2016-05-06",2137.2097
"2016-05-06",2095.2137
"2016-05-06",2056.8171
"2016-05-06",2011.8789
"2016-05-06",1974.6712
"2016-05-06",1928.6124
"2016-05-06",1825.3166
"2016-05-06",1752.4744
"2016-05-06",1709.6997
"2016-05-06",1643.2126
"2016-05-06",1594.8233
"2016-05-06",1518.8932
"2016-05-06",1499.7174
"2016-05-06",1394.9836
"2016-05-06",1381.0324
"2016-05-06",1466.8866
"2016-05-06",2274.4253
"2016-05-06",2305.122
"2016-05-06",2228.8202
"2016-05-06",2194.7833
"2016-05-06",2102.8689
"2016-05-06",2029.9861
"2016-05-06",1994.6996
"2016-05-07",1957.8413
"2016-05-07",1929.0237
"2016-05-07",1909.1882
"2016-05-07",1897.2118
"2016-05-07",1885.3087
"2016-05-07",1864.253
"2016-05-07",1850.4924
"2016-05-07",1873.282
"2016-05-07",1894.937
"2016-05-07",1814.4317
"2016-05-07",1147.87
"2016-05-07",1039.0156
"2016-05-07",1099.836
"2016-05-07",1158.2606
"2016-05-07",1223.6713
"2016-05-07",1257.832
"2016-05-07",1372.4565
"2016-05-07",1491.1439
"2016-05-07",1534.8838
"2016-05-07",1579.6916
"2016-05-07",1584.006
"2016-05-07",1605.8872
"2016-05-07",1625.9447
"2016-05-07",1599.6804
"2016-05-07",1533.4231
"2016-05-07",1465.1823
"2016-05-07",1403.22
"2016-05-07",1384.3002
"2016-05-07",1304.9187
"2016-05-07",1287.3577
"2016-05-07",1273.9707
"2016-05-07",1306.8373
"2016-05-07",1310.4361
"2016-05-07",1271.1719
"2016-05-07",1266.7081
"2016-05-07",1263.0992
"2016-05-07",1227.616
"2016-05-07",1234.1229
"2016-05-07",1224.131
"2016-05-07",1212.7891
"2016-05-07",1296.0672
"2016-05-07",2101.6683
"2016-05-07",2141.9137
"2016-05-07",2118.5881
"2016-05-07",2076.1833
"2016-05-07",2018.9609
"2016-05-07",1963.2071
"2016-05-07",1908.1735
"2016-05-08",1891.1633
"2016-05-08",1869.7694
"2016-05-08",1847.3819
"2016-05-08",1836.3507
"2016-05-08",1826.7948
"2016-05-08",1819.4673
"2016-05-08",1815.2332
"2016-05-08",1827.957
"2016-05-08",1837.5454
"2016-05-08",1761.1994
"2016-05-08",1057.1886
"2016-05-08",826.1875
"2016-05-08",835.7901
"2016-05-08",868.3117
"2016-05-08",911.2785
"2016-05-08",979.2623
"2016-05-08",1084.2157
"2016-05-08",1189.3742
"2016-05-08",1234.6164
"2016-05-08",1268.0571
"2016-05-08",1268.2557
"2016-05-08",1222.4208
"2016-05-08",1247.8047
"2016-05-08",1234.5635
"2016-05-08",1223.1293
"2016-05-08",1198.3301
"2016-05-08",1225.2797
"2016-05-08",1201.419
"2016-05-08",1192.6777
"2016-05-08",1199.1135
"2016-05-08",1189.1859
"2016-05-08",1202.6871
"2016-05-08",1205.6591
"2016-05-08",1197.7738
"2016-05-08",1209.1547
"2016-05-08",1236.4527
"2016-05-08",1221.5087
"2016-05-08",1194.0245
"2016-05-08",1182.6657
"2016-05-08",1183.6466
"2016-05-08",1222.0347
"2016-05-08",2004.7695
"2016-05-08",2100.869
"2016-05-08",2063.8467
"2016-05-08",2028.9427
"2016-05-08",1974.2731
"2016-05-08",1920.3287
"2016-05-08",1890.9348
"2016-05-09",1873.5637
"2016-05-09",1850.0401
"2016-05-09",1840.4573
"2016-05-09",1842.599
"2016-05-09",1828.2205
"2016-05-09",1821.2956
"2016-05-09",1830.9314
"2016-05-09",1843.9924
"2016-05-09",1873.8665
"2016-05-09",1812.5451
"2016-05-09",1139.4225
"2016-05-09",1142.8189
"2016-05-09",1367.5821
"2016-05-09",1527.1278
"2016-05-09",1798.986
"2016-05-09",1975.387
"2016-05-09",2139.1964
"2016-05-09",2193.5128
"2016-05-09",2243.0186
"2016-05-09",2274.3356
"2016-05-09",2276.5901
"2016-05-09",2186.7073
"2016-05-09",2142.3921
"2016-05-09",2163.0367
"2016-05-09",2155.4001
"2016-05-09",2137.7375
"2016-05-09",2097.3839
"2016-05-09",2061.7821
"2016-05-09",1987.4562
"2016-05-09",1972.6758
"2016-05-09",1891.0172
"2016-05-09",1798.2503
"2016-05-09",1723.5334
"2016-05-09",1697.7164
"2016-05-09",1630.8954
"2016-05-09",1552.436
"2016-05-09",1466.0896
"2016-05-09",1431.2764
"2016-05-09",1365.2348
"2016-05-09",1310.5048
"2016-05-09",1388.7776
"2016-05-09",2149.9193
"2016-05-09",2237.2907
"2016-05-09",2147.592
"2016-05-09",2120.567
"2016-05-09",2062.806
"2016-05-09",1992.3379
"2016-05-09",1957.8025
"2016-05-10",1932.3403
"2016-05-10",1919.4214
"2016-05-10",1886.6003
"2016-05-10",1873.173
"2016-05-10",1860.1859
"2016-05-10",1842.7159
"2016-05-10",1864.3298
"2016-05-10",1892.1322
"2016-05-10",1910.1168
"2016-05-10",1864.02
"2016-05-10",1246.4365
"2016-05-10",1249.6872
"2016-05-10",1413.6341
"2016-05-10",1568.5995
"2016-05-10",1813.4734
"2016-05-10",2008.2699
"2016-05-10",2126.4616
"2016-05-10",2250.2094
"2016-05-10",2315.0249
"2016-05-10",2360.4745
"2016-05-10",2313.4975
"2016-05-10",2257.2563
"2016-05-10",2230.5473
"2016-05-10",2206.4882
"2016-05-10",2187.7928
"2016-05-10",2153.5312
"2016-05-10",2135.059
"2016-05-10",2104.3886
"2016-05-10",2001.6392
"2016-05-10",1974.76
"2016-05-10",1930.1206
"2016-05-10",1872.7521
"2016-05-10",1786.6569
"2016-05-10",1702.7086
"2016-05-10",1645.0569
"2016-05-10",1588.7533
"2016-05-10",1493.8717
"2016-05-10",1413.2553
"2016-05-10",1358.1173
"2016-05-10",1347.6039
"2016-05-10",1394.5938
"2016-05-10",2139.786
"2016-05-10",2227.4309
"2016-05-10",2178.5505
"2016-05-10",2150.9933
"2016-05-10",2070.1272
"2016-05-10",2030.9952
"2016-05-10",1971.7711
"2016-05-11",1938.4976
"2016-05-11",1915.4469
"2016-05-11",1887.7094
"2016-05-11",1870.4237
"2016-05-11",1886.7673
"2016-05-11",1850.1292
"2016-05-11",1859.163
"2016-05-11",1885.0938
"2016-05-11",1904.1706
"2016-05-11",1833.0024
"2016-05-11",1139.2174
"2016-05-11",1172.2725
"2016-05-11",1429.4959
"2016-05-11",1613.5746
"2016-05-11",1848.2078
"2016-05-11",2029.5329
"2016-05-11",2190.6834
"2016-05-11",2304.0208
"2016-05-11",2331.0119
"2016-05-11",2420.1186
"2016-05-11",2423.4234
"2016-05-11",2324.2482
"2016-05-11",2239.1498
"2016-05-11",2221.179
"2016-05-11",2197.6556
"2016-05-11",2187.686
"2016-05-11",2169.3919
"2016-05-11",2107.2369
"2016-05-11",2070.9599
"2016-05-11",2004.0377
"2016-05-11",1947.7505
"2016-05-11",1882.516
"2016-05-11",1769.3809
"2016-05-11",1707.9777
"2016-05-11",1624.5674
"2016-05-11",1574.3851
"2016-05-11",1489.2157
"2016-05-11",1460.4832
"2016-05-11",1411.1641
"2016-05-11",1398.5767
"2016-05-11",1444.9805
"2016-05-11",2113.7994
"2016-05-11",2300.0816
"2016-05-11",2200.0903
"2016-05-11",2165.8169
"2016-05-11",2067.1385
"2016-05-11",2013.923
"2016-05-11",1983.7721
"2016-05-12",1958.716
"2016-05-12",1914.8247
"2016-05-12",1917.259
"2016-05-12",1894.4418
"2016-05-12",1883.1358
"2016-05-12",1873.363
"2016-05-12",1877.364
"2016-05-12",1890.8899
"2016-05-12",1912.8866
"2016-05-12",1791.9845
"2016-05-12",1119.6933
"2016-05-12",1230.1592
"2016-05-12",1438.6822
"2016-05-12",1571.8317
"2016-05-12",1830.4621
"2016-05-12",2006.9368
"2016-05-12",2164.7673
"2016-05-12",2278.9385
"2016-05-12",2359.44
"2016-05-12",2421.9822
"2016-05-12",2400.9759
"2016-05-12",2319.6318
"2016-05-12",2284.234
"2016-05-12",2261.8243
"2016-05-12",2200.5832
"2016-05-12",2185.4775
"2016-05-12",2196.2457
"2016-05-12",2158.7035
"2016-05-12",2100.8893
"2016-05-12",2083.3306
"2016-05-12",2046.9403
"2016-05-12",1908.5711
"2016-05-12",1845.3511
"2016-05-12",1744.883
"2016-05-12",1660.8304
"2016-05-12",1619.0359
"2016-05-12",1501.5266
"2016-05-12",1466.4459
"2016-05-12",1430.9108
"2016-05-12",1409.6276
"2016-05-12",1475.7837
"2016-05-12",2159.9095
"2016-05-12",2274.6217
"2016-05-12",2181.4652
"2016-05-12",2103.1918
"2016-05-12",2056.337
"2016-05-12",2000.9272
"2016-05-12",1979.6698
"2016-05-13",1951.5335
"2016-05-13",1931.8549
"2016-05-13",1905.9488
"2016-05-13",1910.7399
"2016-05-13",1894.1619
"2016-05-13",1892.2475
"2016-05-13",1887.812
"2016-05-13",1909.5503
"2016-05-13",1915.9562
"2016-05-13",1865.027
"2016-05-13",1259.0201
"2016-05-13",1249.1345
"2016-05-13",1440.3266
"2016-05-13",1626.5437
"2016-05-13",1816.7085
"2016-05-13",2061.5883
"2016-05-13",2249.8547
"2016-05-13",2399.8644
"2016-05-13",2427.9907
"2016-05-13",2413.7707
"2016-05-13",2423.3421
"2016-05-13",2367.3363
"2016-05-13",2313.9824
"2016-05-13",2254.3754
"2016-05-13",2218.1509
"2016-05-13",2202.5041
"2016-05-13",2146.8608
"2016-05-13",2098.39
"2016-05-13",2042.2127
"2016-05-13",1985.7693
"2016-05-13",1917.7256
"2016-05-13",1831.1185
"2016-05-13",1772.6992
"2016-05-13",1743.1188
"2016-05-13",1709.1505
"2016-05-13",1628.9105
"2016-05-13",1507.9605
"2016-05-13",1474.8875
"2016-05-13",1426.9357
"2016-05-13",1393.0417
"2016-05-13",1485.1477
"2016-05-13",2117.5771
"2016-05-13",2289.7283
"2016-05-13",2207.9524
"2016-05-13",2162.1728
"2016-05-13",2119.1033
"2016-05-13",2041.1564
"2016-05-13",2012.5551
"2016-05-14",1997.3258
"2016-05-14",1968.102
"2016-05-14",1938.8788
"2016-05-14",1921.9794
"2016-05-14",1894.1456
"2016-05-14",1869.0596
"2016-05-14",1873.6691
"2016-05-14",1887.3467
"2016-05-14",1888.0096
"2016-05-14",1792.6456
"2016-05-14",1085.3106
"2016-05-14",1047.8945
"2016-05-14",1128.132
"2016-05-14",1140.8025
"2016-05-14",1183.6516
"2016-05-14",1246.932
"2016-05-14",1355.2692
"2016-05-14",1445.6826
"2016-05-14",1513.567
"2016-05-14",1562.6174
"2016-05-14",1613.8662
"2016-05-14",1614.5007
"2016-05-14",1589.2606
"2016-05-14",1602.6664
"2016-05-14",1550.5107
"2016-05-14",1459.793
"2016-05-14",1408.4533
"2016-05-14",1397.8499
"2016-05-14",1377.7695
"2016-05-14",1352.8584
"2016-05-14",1387.229
"2016-05-14",1340.4336
"2016-05-14",1335.3012
"2016-05-14",1329.3763
"2016-05-14",1302.5255
"2016-05-14",1299.9224
"2016-05-14",1291.3935
"2016-05-14",1271.8012
"2016-05-14",1250.0904
"2016-05-14",1214.5034
"2016-05-14",1258.9396
"2016-05-14",1863.2011
"2016-05-14",2171.4721
"2016-05-14",2100.0185
"2016-05-14",2068.3902
"2016-05-14",2002.3703
"2016-05-14",1979.1848
"2016-05-14",1956.5278
"2016-05-15",1923.9502
"2016-05-15",1897.7654
"2016-05-15",1860.7187
"2016-05-15",1866.2556
"2016-05-15",1858.6432
"2016-05-15",1838.1861
"2016-05-15",1835.0554
"2016-05-15",1838.0688
"2016-05-15",1841.2272
"2016-05-15",1680.6941
"2016-05-15",968.5505
"2016-05-15",853.7753
"2016-05-15",885.7058
"2016-05-15",914.6683
"2016-05-15",933.7053
"2016-05-15",982.6324
"2016-05-15",1076.3227
"2016-05-15",1163.7244
"2016-05-15",1206.4827
"2016-05-15",1275.9923
"2016-05-15",1279.0471
"2016-05-15",1276.7728
"2016-05-15",1281.0836
"2016-05-15",1232.3412
"2016-05-15",1228.7484
"2016-05-15",1221.5847
"2016-05-15",1211.9898
"2016-05-15",1198.7731
"2016-05-15",1214.6095
"2016-05-15",1210.4968
"2016-05-15",1197.3161
"2016-05-15",1211.8762
"2016-05-15",1222.9227
"2016-05-15",1242.0458
"2016-05-15",1206.698
"2016-05-15",1228.878
"2016-05-15",1234.3818
"2016-05-15",1239.6469
"2016-05-15",1243.3104
"2016-05-15",1235.5429
"2016-05-15",1233.6204
"2016-05-15",1725.7286
"2016-05-15",2176.3622
"2016-05-15",2099.2986
"2016-05-15",2037.3998
"2016-05-15",2000.7529
"2016-05-15",1977.2071
"2016-05-15",1937.3121
"2016-05-16",1898.9293
"2016-05-16",1870.4327
"2016-05-16",1848.103
"2016-05-16",1855.4878
"2016-05-16",1835.001
"2016-05-16",1825.9844
"2016-05-16",1816.4021
